WeaponType	WeaponEffort	Weapon	Finessable
Natural	Unarmed	Bite	0
Natural	Unarmed	Claw	0
Natural	Unarmed	Gore	0
Natural	Unarmed	Hoof	0
Natural	Unarmed	Tentacle	0
Natural	Unarmed	Wing	0
Natural	Unarmed	Slam	0
Natural	Unarmed	Sting	0
Natural	Unarmed	Talons	0
Natural	Unarmed	Constrict	0
Simple	Unarmed Attack	Gauntlet	0
Simple	Unarmed Attack	Unarmed strike	0
Simple	Light Melee Weapons	Battle aspergillum	0
Simple	Light Melee Weapons	Brass knuckles	0
Simple	Light Melee Weapons	Cestus	0
Simple	Light Melee Weapons	Dagger	0
Simple	Light Melee Weapons	"Dagger, punching"	0
Simple	Light Melee Weapons	"Gauntlet, spiked"	0
Simple	Light Melee Weapons	Hanbo	0
Simple	Light Melee Weapons	"Mace, light"	0
Simple	Light Melee Weapons	Sickle	0
Simple	Light Melee Weapons	Wooden stake	0
Simple	One-Handed Melee Weapons	Club	0
Simple	One-Handed Melee Weapons	"Club, mere"	0
Simple	One-Handed Melee Weapons	Combat scabbard	0
Simple	One-Handed Melee Weapons	"Mace, heavy"	0
Simple	One-Handed Melee Weapons	Morningstar	0
Simple	One-Handed Melee Weapons	Shortspear	0
Simple	Two-Handed Melee Weapons	Bayonet	0
Simple	Two-Handed Melee Weapons	Longspear	0
Simple	Two-Handed Melee Weapons	Quarterstaff	0
Simple	Two-Handed Melee Weapons	Spear	0
Simple	Two-Handed Melee Weapons	"Spear, boar"	0
Simple	Ranged Weapons	Blowgun	0
Simple	Ranged Weapons	"Crossbow, heavy"	0
Simple	Ranged Weapons	"Crossbow, light"	0
Simple	Ranged Weapons	Dart	0
Simple	Ranged Weapons	Javelin	0
Simple	Ranged Weapons	Sling	0
Simple	Ranged Weapons	Stingchuck	0
Simple	Ammunition	"Bolt(s), crossbow (10)"	0
Simple	Ammunition	"Bolt(s), acid (1)"	0
Simple	Ammunition	"Bolt(s), Drow poison (1)"	0
Simple	Ammunition	"Bolt(s), fire (1)"	0
Simple	Ammunition	"Bullet(s), groaning (10)"	0
Simple	Ammunition	"Bullet(s), sling (10)"	0
Simple	Ammunition	"Bullet(s), smoke (10)"	0
Simple	Ammunition	"Dart(s), blowgun (10)"	0
Martial	Light Melee Weapons	"Axe, throwing"	0
Martial	Light Melee Weapons	Blade boot	0
Martial	Light Melee Weapons	Butterfly sword	0
Martial	Light Melee Weapons	Dogslicer	0
Martial	Light Melee Weapons	Gladius	0
Martial	Light Melee Weapons	"Hammer, light"	0
Martial	Light Melee Weapons	Handaxe	0
Martial	Light Melee Weapons	Iron brush	0
Martial	Light Melee Weapons	Jutte	0
Martial	Light Melee Weapons	Kerambit	0
Martial	Light Melee Weapons	"Knife, switchblade"	0
Martial	Light Melee Weapons	Kukri	0
Martial	Light Melee Weapons	Lungchuan tamo	0
Martial	Light Melee Weapons	"Pick, light"	0
Martial	Light Melee Weapons	Sap	0
Martial	Light Melee Weapons	Shang gou	0
Martial	Light Melee Weapons	"Shield, light"	0
Martial	Light Melee Weapons	Spiked armor	0
Martial	Light Melee Weapons	"Spiked shield, light"	0
Martial	Light Melee Weapons	Starknife	0
Martial	Light Melee Weapons	Shortsword	0
Martial	Light Melee Weapons	Tonfa	0
Martial	Light Melee Weapons	War razor	0
Martial	Light Melee Weapons	Wushu dart (5)	0
Martial	Light Melee Weapons	Kukri	0
Martial	One-Handed Melee Weapons	Battleaxe	0
Martial	One-Handed Melee Weapons	"Broadsword, nine ring"	0
Martial	One-Handed Melee Weapons	Double chicken saber	0
Martial	One-Handed Melee Weapons	Flail	0
Martial	One-Handed Melee Weapons	Klar	0
Martial	One-Handed Melee Weapons	Longsword	0
Martial	One-Handed Melee Weapons	"Pick, heavy"	0
Martial	One-Handed Melee Weapons	Rapier	1
Martial	One-Handed Melee Weapons	"Scabbard, combat (sharpened)"	0
Martial	One-Handed Melee Weapons	Scimitar	0
Martial	One-Handed Melee Weapons	Scizore	0
Martial	One-Handed Melee Weapons	"Shield, heavy"	0
Martial	One-Handed Melee Weapons	Sibat	0
Martial	One-Handed Melee Weapons	"Spiked shield, heavy"	0
Martial	One-Handed Melee Weapons	Sword cane	0
Martial	One-Handed Melee Weapons	Terbutje	0
Martial	One-Handed Melee Weapons	"Terbutje, steel"	0
Martial	One-Handed Melee Weapons	Trident	0
Martial	One-Handed Melee Weapons	Warhammer	0
Martial	One-Handed Melee Weapons	Scimitar	0
Martial	Two-Handed Melee Weapons	Bardiche	0
Martial	Two-Handed Melee Weapons	Bec de corbin	0
Martial	Two-Handed Melee Weapons	Bill	0
Martial	Two-Handed Melee Weapons	Earth breaker	0
Martial	Two-Handed Melee Weapons	Falchion	0
Martial	Two-Handed Melee Weapons	"Flail, heavy"	0
Martial	Two-Handed Melee Weapons	Glaive	0
Martial	Two-Handed Melee Weapons	Glaive5guisarme	0
Martial	Two-Handed Melee Weapons	Greataxe	0
Martial	Two-Handed Melee Weapons	Greatclub	0
Martial	Two-Handed Melee Weapons	Greatsword	0
Martial	Two-Handed Melee Weapons	Guisarme	0
Martial	Two-Handed Melee Weapons	Halberd	0
Martial	Two-Handed Melee Weapons	"Hammer, lucerne"	0
Martial	Two-Handed Melee Weapons	Hooked lance	0
Martial	Two-Handed Melee Weapons	Horsechopper	0
